text,label
"Swiggy 250","Food"
"Dominos 499","Food"
"Coffee at Cafe 150","Food"
"Uber 300","Travel"
"Lyft 150","Travel"
"Taxi Ola 180","Travel"
"Petrol bunk 2400","Travel"
"Grocery Store 1200","Groceries"
"Big Bazaar 520","Groceries"
"Amazon Purchase 799","Shopping"
"Flipkart order 1299","Shopping"
"Phone bill 1500","Bills"
"Electricity bill 2600","Bills"
"Mobile recharge 199","Bills"
"Netflix subscription 499","Entertainment"
"Movie ticket 350","Entertainment"
"Subscription Audible 199","Entertainment"
"Pharmacy 230","Health"
"Doctors fee 1200","Health"
"Gym membership 1200","Fitness"
"Salary September 2025 45000","Salary"
"Bonus payout 5000","Salary"
"Rent Sep 2025 12000","Rent"
"Loan EMI 5000","Loans"
"Donation to NGO 300","Charity"
"Refund from Store 400","Other"
"Payment from John 2000","Income"
"School fee 35000","Education"
